name,description,priority,Source ->,source_address_prefix,source_address_prefixes,source_application_security_group_ids,Destination ->,destination_address_prefix,destination_address_prefixes,destination_application_security_group_ids,source_port_range,source_port_ranges,destination_port_range,destination_port_ranges,access,protocol,direction,resource_group_name,network_security_group_name
Allow_OnPrem_SCCM_IN,OnPrem SCCM Services,3020,Ip Addresses,10.240.1.247,,,Service Tag,VirtualNetwork,,,*,,,"80,135,443,8003,445,8530,8531,10123",Allow,TCP,Inbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_OnPrem_ProdSubnet_IN,OnPrem Prod servers,3030,Ip Addresses,10.240.1.0/24,,,Service Tag,VirtualNetwork,,,*,,*,,Allow,TCP,Inbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_Azure_Subnet_To_Itself_IN,Subnet to Itself,3000,Ip Addresses,10.168.2.0/27,,,Ip Addresses,10.168.2.0/27,,,*,,*,,Allow,*,Inbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_OnPrem_DBAccess_IN,OnPrem to MSSQL server,3010,Ip Addresses,,"10.240.0.0/16,10.242.0.0/16",,Application Security Group (ASG),,,INFMGMT001-ONP-DBACOL,*,,1433,,Allow,TCP,Inbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_Azure_Subnet_To_Itself_OUT,Subnet to Itself,3000,Ip Addresses,10.168.2.0/27,,,Ip Addresses,10.168.2.0/27,,,*,,*,,Allow,*,Outbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_OnPrem_DBAccess_OUT,Azure to Onprem for MSSQL server,3010,Service Tag,VirtualNetwork,,,Ip Addresses,10.240.1.0/24,,,*,,1433,,Allow,TCP,Outbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
Allow_OnPrem_ProdSubnet_OUT,Azure to Onprem Prod Subnet,3030,Service Tag,VirtualNetwork,,,Ip Addresses,10.240.1.0/24,,,*,,*,,Allow,TCP,Outbound,SH-JHAZ-INFMGMT-001-RGP-01,SH-JHAZ-INFMGMT-001-NSG-01
